Subject,Date,Body,filepath,Source
NIST_original_cybersecurity_framework_021214,4/16/25,"framework for improving critical infrastructure cybersecurity version 1.0 national institute of standards and technology february 12, 2014",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 ii table of contents executive summary.........................................................................................................................1 1.0 framework introduction .........................................................................................................3 2.0 framework basics...................................................................................................................7 3.0 how to use the framework ..................................................................................................13 appendix a: framework core.......................................................................................................18 appendix b: glossary....................................................................................................................37 appendix c: acronyms .................................................................................................................39 list of figures figure 1: framework core structure .............................................................................................. 7 figure 2: notional information and decision flows within an organization .............................. 12 list of tables table 1: function and category unique identifiers ..................................................................... 19 table 2: framework core ............................................................................................................. 20",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 1 executive summary the national and economic security of the united states depends on the reliable functioning of critical infrastructure. cybersecurity threats exploit the increased complexity and connectivity of critical infrastructure systems, placing the nation s security, economy, and public safety and health at risk. similar to financial and reputational risk, cybersecurity risk affects a company s bottom line. it can drive up costs and impact revenue. it can harm an organization s ability to innovate and to gain and maintain customers. to better address these risks, the president issued executive order 13636, improving critical infrastructure cybersecurity, on february 12, 2013, which established that [i]t is the policy of the united states to enhance the security and resilience of the nation s critical infrastructure and to maintain a cyber environment that encourages efficiency, innovation, and economic prosperity while promoting safety, security, business confidentiality, privacy, and civil liberties. in enacting this policy, the executive order calls for the development of a voluntary risk-based cybersecurity framework a set of industry standards and best practices to help organizations manage cybersecurity risks. the resulting framework, created through collaboration between government and the private sector, uses a common language to address and manage cybersecurity risk in a cost-effective way based on business needs without placing additional regulatory requirements on businesses. the framework focuses on using business drivers to guide cybersecurity activities and considering cybersecurity risks as part of the organization s risk management processes. the framework consists of three parts: the framework core, the framework profile, and the framework implementation tiers. the framework core is a set of cybersecurity activities, outcomes, and informative references that are common across critical infrastructure sectors, providing the detailed guidance for developing individual organizational profiles. through use of the profiles, the framework will help the organization align its cybersecurity activities with its business requirements, risk tolerances, and resources. the tiers provide a mechanism for organizations to view and understand the characteristics of their approach to managing cybersecurity risk. the executive order also requires that the framework include a methodology to protect individual privacy and civil liberties when critical infrastructure organizations conduct cybersecurity activities. while processes and existing needs will differ, the framework can assist organizations in incorporating privacy and civil liberties as part of a comprehensive cybersecurity program. the framework enables organizations regardless of size, degree of cybersecurity risk, or cybersecurity sophistication to apply the principles and best practices of risk management to improving the security and resilience of critical infrastructure. the framework provides organization and structure to today s multiple approaches to cybersecurity by assembling standards, guidelines, and practices that are working effectively in industry today. moreover, because it references globally recognized standards for cybersecurity, the framework can also be",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 2 used by organizations located outside the united states and can serve as a model for international cooperation on strengthening critical infrastructure cybersecurity. the framework is not a one-size-fits-all approach to managing cybersecurity risk for critical infrastructure. organizations will continue to have unique risks different threats, different vulnerabilities, different risk tolerances and how they implement the practices in the framework will vary. organizations can determine activities that are important to critical service delivery and can prioritize investments to maximize the impact of each dollar spent. ultimately, the framework is aimed at reducing and better managing cybersecurity risks. the framework is a living document and will continue to be updated and improved as industry provides feedback on implementation. as the framework is put into practice, lessons learned will be integrated into future versions. this will ensure it is meeting the needs of critical infrastructure owners and operators in a dynamic and challenging environment of new threats, risks, and solutions. use of this voluntary framework is the next step to improve the cybersecurity of our nation s critical infrastructure providing guidance for individual organizations, while increasing the cybersecurity posture of the nation s critical infrastructure as a whole.",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 3 1.0 framework introduction the national and economic security of the united states depends on the reliable functioning of critical infrastructure. to strengthen the resilience of this infrastructure, president obama issued executive order 13636 (eo), improving critical infrastructure cybersecurity, on february 12, 2013. 1 this executive order calls for the development of a voluntary cybersecurity framework ( framework ) that provides a prioritized, flexible, repeatable, performance-based, and costeffective approach to manage cybersecurity risk for those processes, information, and systems directly involved in the delivery of critical infrastructure services. the framework, developed in collaboration with industry, provides guidance to an organization on managing cybersecurity risk. critical infrastructure is defined in the eo as systems and assets, whether physical or virtual, so vital to the united states that the incapacity or destruction of such systems and assets would have a debilitating impact on security, national economic security, national public health or safety, or any combination of those matters. due to the increasing pressures from external and internal threats, organizations responsible for critical infrastructure need to have a consistent and iterative approach to identifying, assessing, and managing cybersecurity risk. this approach is necessary regardless of an organization s size, threat exposure, or cybersecurity sophistication today. the critical infrastructure community includes public and private owners and operators, and other entities with a role in securing the nation s infrastructure. members of each critical infrastructure sector perform functions that are supported by information technology (it) and industrial control systems (ics). 2 this reliance on technology, communication, and the interconnectivity of it and ics has changed and expanded the potential vulnerabilities and increased potential risk to operations. for example, as ics and the data produced in ics operations are increasingly used to deliver critical services and support business decisions, the potential impacts of a cybersecurity incident on an organization s business, assets, health and safety of individuals, and the environment should be considered. to manage cybersecurity risks, a clear understanding of the organization s business drivers and security considerations specific to its use of it and ics is required. because each organization s risk is unique, along with its use of it and ics, the tools and methods used to achieve the outcomes described by the framework will vary. recognizing the role that the protection of privacy and civil liberties plays in creating greater public trust, the executive order requires that the framework include a methodology to protect individual privacy and civil liberties when critical infrastructure organizations conduct cybersecurity activities. many organizations already have processes for addressing privacy and civil liberties. the methodology is designed to complement such processes and provide guidance to facilitate privacy risk management consistent with an organization s approach to cybersecurity risk management. integrating privacy and cybersecurity can benefit organizations by increasing customer confidence, enabling more standardized sharing of information, and simplifying operations across legal regimes. 1 executive order no. 13636, improving critical infrastructure cybersecurity, dcpd-201300091, february 12, 2013. http://www.gpo.gov/fdsys/pkg/fr-2013-02-19/pdf/2013-03915.pdf 2 the dhs critical infrastructure program provides a listing of the sectors and their associated critical functions and value chains. http://www.dhs.gov/critical-infrastructure-sectors",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 4 to ensure extensibility and enable technical innovation, the framework is technology neutral. the framework relies on a variety of existing standards, guidelines, and practices to enable critical infrastructure providers to achieve resilience. by relying on those global standards, guidelines, and practices developed, managed, and updated by industry, the tools and methods available to achieve the framework outcomes will scale across borders, acknowledge the global nature of cybersecurity risks, and evolve with technological advances and business requirements. the use of existing and emerging standards will enable economies of scale and drive the development of effective products, services, and practices that meet identified market needs. market competition also promotes faster diffusion of these technologies and practices and realization of many benefits by the stakeholders in these sectors. building from those standards, guidelines, and practices, the framework provides a common taxonomy and mechanism for organizations to: 1) describe their current cybersecurity posture; 2) describe their target state for cybersecurity; 3) identify and prioritize opportunities for improvement within the context of a continuous and repeatable process; 4) assess progress toward the target state; 5) communicate among internal and external stakeholders about cybersecurity risk. the framework complements, and does not replace, an organization s risk management process and cybersecurity program. the organization can use its current processes and leverage the framework to identify opportunities to strengthen and communicate its management of cybersecurity risk while aligning with industry practices. alternatively, an organization without an existing cybersecurity program can use the framework as a reference to establish one. just as the framework is not industry-specific, the common taxonomy of standards, guidelines, and practices that it provides also is not country-specific. organizations outside the united states may also use the framework to strengthen their own cybersecurity efforts, and the framework can contribute to developing a common language for international cooperation on critical infrastructure cybersecurity. 1.1 overview of the framework the framework is a risk-based approach to managing cybersecurity risk, and is composed of three parts: the framework core, the framework implementation tiers, and the framework profiles. each framework component reinforces the connection between business drivers and cybersecurity activities. these components are explained below. the framework core is a set of cybersecurity activities, desired outcomes, and applicable references that are common across critical infrastructure sectors. the core presents industry standards, guidelines, and practices in a manner that allows for communication of cybersecurity activities and outcomes across the organization from the executive level to the implementation/operations level. the framework core consists of five concurrent and continuous functions identify, protect, detect, respond, recover. when considered together, these functions provide a high-level, strategic view of the lifecycle of an organization s management of cybersecurity risk. the framework core",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 5 then identifies underlying key categories and subcategories for each function, and matches them with example informative references such as existing standards, guidelines, and practices for each subcategory. framework implementation tiers ( tiers ) provide context on how an organization views cybersecurity risk and the processes in place to manage that risk. tiers describe the degree to which an organization s cybersecurity risk management practices exhibit the characteristics defined in the framework (e.g., risk and threat aware, repeatable, and adaptive). the tiers characterize an organization s practices over a range, from partial (tier 1) to adaptive (tier 4). these tiers reflect a progression from informal, reactive responses to approaches that are agile and risk-informed. during the tier selection process, an organization should consider its current risk management practices, threat environment, legal and regulatory requirements, business/mission objectives, and organizational constraints. a framework profile ( profile ) represents the outcomes based on business needs that an organization has selected from the framework categories and subcategories. the profile can be characterized as the alignment of standards, guidelines, and practices to the framework core in a particular implementation scenario. profiles can be used to identify opportunities for improving cybersecurity posture by comparing a current profile (the as is state) with a target profile (the to be state). to develop a profile, an organization can review all of the categories and subcategories and, based on business drivers and a risk assessment, determine which are most important; they can add categories and subcategories as needed to address the organization s risks. the current profile can then be used to support prioritization and measurement of progress toward the target profile, while factoring in other business needs including cost-effectiveness and innovation. profiles can be used to conduct self-assessments and communicate within an organization or between organizations. 1.2 risk management and the cybersecurity framework risk management is the ongoing process of identifying, assessing, and responding to risk. to manage risk, organizations should understand the likelihood that an event will occur and the resulting impact. with this information, organizations can determine the acceptable level of risk for delivery of services and can express this as their risk tolerance. with an understanding of risk tolerance, organizations can prioritize cybersecurity activities, enabling organizations to make informed decisions about cybersecurity expenditures. implementation of risk management programs offers organizations the ability to quantify and communicate adjustments to their cybersecurity programs. organizations may choose to handle risk in different ways, including mitigating the risk, transferring the risk, avoiding the risk, or accepting the risk, depending on the potential impact to the delivery of critical services. the framework uses risk management processes to enable organizations to inform and prioritize decisions regarding cybersecurity. it supports recurring risk assessments and validation of business drivers to help organizations select target states for cybersecurity activities that reflect desired outcomes. thus, the framework gives organizations the ability to dynamically select and direct improvement in cybersecurity risk management for the it and ics environments.",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 6 the framework is adaptive to provide a flexible and risk-based implementation that can be used with a broad array of cybersecurity risk management processes. examples of cybersecurity risk management processes include international organization for standardization (iso) 31000:20093, iso/iec 27005:20114, national institute of standards and technology (nist) special publication (sp) 800-395, and the electricity subsector cybersecurity risk management process (rmp) guideline6. 1.3 document overview the remainder of this document contains the following sections and appendices: section 2 describes the framework components: the framework core, the tiers, and the profiles. section 3 presents examples of how the framework can be used. appendix a presents the framework core in a tabular format: the functions, categories, subcategories, and informative references. appendix b contains a glossary of selected terms. appendix c lists acronyms used in this document. 3 international organization for standardization, risk management principles and guidelines, iso 31000:2009, 2009. http://www.iso.org/iso/home/standards/iso31000.htm 4 international organization for standardization/international electrotechnical commission, information technology security techniques information security risk management, iso/iec 27005:2011, 2011. http://www.iso.org/iso/catalogue_detail?csnumber=56742 5 joint task force transformation initiative, managing information security risk: organization, mission, and information system view, nist special publication 800-39, march 2011. http://csrc.nist.gov/publications/nistpubs/800-39/sp800-39-final.pdf 6 u.s. department of energy, electricity subsector cybersecurity risk management process, doe/oe-0003, may 2012. http://energy.gov/sites/prod/files/cybersecurity%20risk%20management%20process%20guideline%20- %20final%20-%20may%202012.pdf",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 7 2.0 framework basics the framework provides a common language for understanding, managing, and expressing cybersecurity risk both internally and externally. it can be used to help identify and prioritize actions for reducing cybersecurity risk, and it is a tool for aligning policy, business, and technological approaches to managing that risk. it can be used to manage cybersecurity risk across entire organizations or it can be focused on the delivery of critical services within an organization. different types of entities including sector coordinating structures, associations, and organizations can use the framework for different purposes, including the creation of common profiles. 2.1 framework core the framework core provides a set of activities to achieve specific cybersecurity outcomes, and references examples of guidance to achieve those outcomes. the core is not a checklist of actions to perform. it presents key cybersecurity outcomes identified by industry as helpful in managing cybersecurity risk. the core comprises four elements: functions, categories, subcategories, and informative references, depicted in figure 1: figure 1: framework core structure the framework core elements work together as follows: functions organize basic cybersecurity activities at their highest level. these functions are identify, protect, detect, respond, and recover. they aid an organization in expressing its management of cybersecurity risk by organizing information, enabling risk management decisions, addressing threats, and improving by learning from previous activities. the functions also align with existing methodologies for incident management and help show the impact of investments in cybersecurity. for example, investments in planning and exercises support timely response and recovery actions, resulting in reduced impact to the delivery of services. categories are the subdivisions of a function into groups of cybersecurity outcomes closely tied to programmatic needs and particular activities. examples of categories include asset management, access control, and detection processes.",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
NIST_original_cybersecurity_framework_021214,4/16/25,"february 12, 2014 cybersecurity framework version 1.0 8 subcategories further divide a category into specific outcomes of technical and/or management activities. they provide a set of results that, while not exhaustive, help support achievement of the outcomes in each category. examples of subcategories include external information systems are catalogued, data-at-rest is protected, and notifications from detection systems are investigated. informative references are specific sections of standards, guidelines, and practices common among critical infrastructure sectors that illustrate a method to achieve the outcomes associated with each subcategory. the informative references presented in the framework core are illustrative and not exhaustive. they are based upon cross-sector guidance most frequently referenced during the framework development process.7 the five framework core functions are defined below. these functions are not intended to form a serial path, or lead to a static desired end state. rather, the functions can be performed concurrently and continuously to form an operational culture that addresses the dynamic cybersecurity risk. see appendix a for the complete framework core listing. identify develop the organizational understanding to manage cybersecurity risk to systems, assets, data, and capabilities. the activities in the identify function are foundational for effective use of the framework. understanding the business context, the resources that support critical functions, and the related cybersecurity risks enables an organization to focus and prioritize its efforts, consistent with its risk management strategy and business needs. examples of outcome categories within this function include: asset management; business environment; governance; risk assessment; and risk management strategy. protect develop and implement the appropriate safeguards to ensure delivery of critical infrastructure services. the protect function supports the ability to limit or contain the impact of a potential cybersecurity event. examples of outcome categories within this function include: access control; awareness and training; data security; information protection processes and procedures; maintenance; and protective technology. detect develop and implement the appropriate activities to identify the occurrence of a cybersecurity event. the detect function enables timely discovery of cybersecurity events. examples of outcome categories within this function include: anomalies and events; security continuous monitoring; and detection processes. respond develop and implement the appropriate activities to take action regarding a detected cybersecurity event. 7 nist developed a compendium of informative references gathered from the request for information (rfi) input, cybersecurity framework workshops, and stakeholder engagement during the framework development process. the compendium includes standards, guidelines, and practices to assist with implementation. the compendium is not intended to be an exhaustive list, but rather a starting point based on initial stakeholder input. the compendium and other supporting material can be found at http://www.nist.gov/cyberframework/.",BERT GRC classifier/IDme/CADDIE_phase2/regulations /NIST_original_cybersecurity_framework_021214.pdf,External
